Constituents (Atomic Number : Fraction by Weight)

 Z=16	: 1.000000

Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
       3.581E-01 1.62E-03 9.89E-02 7.77E-04 0.00E+00 0.00E+00 1.01E-01 9.97E-02
       3.932E-01 1.35E-03 9.54E-02 5.95E-04 0.00E+00 0.00E+00 9.74E-02 9.60E-02
       4.317E-01 1.12E-03 9.20E-02 4.59E-04 0.00E+00 0.00E+00 9.36E-02 9.24E-02
       4.739E-01 9.29E-04 8.86E-02 3.55E-04 0.00E+00 0.00E+00 8.99E-02 8.90E-02
       5.203E-01 7.72E-04 8.53E-02 2.78E-04 0.00E+00 0.00E+00 8.63E-02 8.55E-02
       5.712E-01 6.41E-04 8.20E-02 2.19E-04 0.00E+00 0.00E+00 8.28E-02 8.22E-02
       6.270E-01 5.32E-04 7.87E-02 1.73E-04 0.00E+00 0.00E+00 7.94E-02 7.89E-02
       6.884E-01 4.42E-04 7.55E-02 1.37E-04 0.00E+00 0.00E+00 7.61E-02 7.57E-02
       7.558E-01 3.67E-04 7.24E-02 1.10E-04 0.00E+00 0.00E+00 7.29E-02 7.25E-02
       8.297E-01 3.04E-04 6.94E-02 9.08E-05 0.00E+00 0.00E+00 6.98E-02 6.95E-02
       9.109E-01 2.53E-04 6.64E-02 7.54E-05 0.00E+00 0.00E+00 6.67E-02 6.65E-02
       1.000E+00 2.10E-04 6.35E-02 6.08E-05 0.00E+00 0.00E+00 6.37E-02 6.35E-02


