Constituents (Atomic Number : Fraction by Weight)

 Z=10	: 1.000000

Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
       1.064E-01 7.95E-03 1.42E-01 5.81E-03 0.00E+00 0.00E+00 1.56E-01 1.48E-01
       1.168E-01 6.65E-03 1.39E-01 4.28E-03 0.00E+00 0.00E+00 1.50E-01 1.44E-01
       1.283E-01 5.56E-03 1.36E-01 3.16E-03 0.00E+00 0.00E+00 1.45E-01 1.39E-01
       1.408E-01 4.64E-03 1.33E-01 2.33E-03 0.00E+00 0.00E+00 1.40E-01 1.35E-01
       1.546E-01 3.87E-03 1.30E-01 1.73E-03 0.00E+00 0.00E+00 1.35E-01 1.32E-01
       1.697E-01 3.23E-03 1.27E-01 1.28E-03 0.00E+00 0.00E+00 1.31E-01 1.28E-01
       1.863E-01 2.69E-03 1.23E-01 9.48E-04 0.00E+00 0.00E+00 1.27E-01 1.24E-01
       2.046E-01 2.24E-03 1.20E-01 7.05E-04 0.00E+00 0.00E+00 1.23E-01 1.20E-01
       2.246E-01 1.86E-03 1.16E-01 5.25E-04 0.00E+00 0.00E+00 1.19E-01 1.17E-01
       2.465E-01 1.55E-03 1.13E-01 3.92E-04 0.00E+00 0.00E+00 1.15E-01 1.13E-01
       2.707E-01 1.29E-03 1.09E-01 2.94E-04 0.00E+00 0.00E+00 1.11E-01 1.09E-01
       2.971E-01 1.07E-03 1.05E-01 2.21E-04 0.00E+00 0.00E+00 1.07E-01 1.06E-01
       3.262E-01 8.89E-04 1.02E-01 1.67E-04 0.00E+00 0.00E+00 1.03E-01 1.02E-01
       3.581E-01 7.39E-04 9.84E-02 1.27E-04 0.00E+00 0.00E+00 9.93E-02 9.86E-02
       3.932E-01 6.14E-04 9.50E-02 9.71E-05 0.00E+00 0.00E+00 9.57E-02 9.51E-02
       4.317E-01 5.10E-04 9.15E-02 7.46E-05 0.00E+00 0.00E+00 9.21E-02 9.16E-02
       4.739E-01 4.23E-04 8.81E-02 5.77E-05 0.00E+00 0.00E+00 8.86E-02 8.82E-02
       5.203E-01 3.51E-04 8.48E-02 4.50E-05 0.00E+00 0.00E+00 8.52E-02 8.48E-02
       5.712E-01 2.91E-04 8.15E-02 3.53E-05 0.00E+00 0.00E+00 8.18E-02 8.15E-02
       6.270E-01 2.42E-04 7.83E-02 2.78E-05 0.00E+00 0.00E+00 7.85E-02 7.83E-02
       6.884E-01 2.01E-04 7.51E-02 2.20E-05 0.00E+00 0.00E+00 7.53E-02 7.51E-02
       7.558E-01 1.67E-04 7.20E-02 1.77E-05 0.00E+00 0.00E+00 7.22E-02 7.20E-02
       8.297E-01 1.38E-04 6.89E-02 1.47E-05 0.00E+00 0.00E+00 6.91E-02 6.90E-02
       9.109E-01 1.15E-04 6.59E-02 1.23E-05 0.00E+00 0.00E+00 6.61E-02 6.60E-02
       1.000E+00 9.52E-05 6.31E-02 9.78E-06 0.00E+00 0.00E+00 6.32E-02 6.31E-02

