   Constituents (Atomic Number : Fraction by Weight)

 Z=36	: 1.000000
Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
8.000E+01 1.13E-07 2.58E-03 3.74E-06 4.68E-02 1.24E-03 5.06E-02 5.06E-02
1.000E+02 7.24E-08 2.14E-03 2.98E-06 4.91E-02 1.33E-03 5.26E-02 5.26E-02
1.500E+02 3.22E-08 1.52E-03 1.97E-06 5.29E-02 1.48E-03 5.59E-02 5.59E-02
2.000E+02 1.81E-08 1.20E-03 1.48E-06 5.51E-02 1.58E-03 5.79E-02 5.79E-02
3.000E+02 8.05E-09 8.47E-04 9.81E-07 5.77E-02 1.69E-03 6.02E-02 6.02E-02
4.000E+02 4.53E-09 6.64E-04 7.34E-07 5.92E-02 1.76E-03 6.16E-02 6.16E-02
5.000E+02 2.90E-09 5.49E-04 5.87E-07 6.01E-02 1.81E-03 6.25E-02 6.25E-02
6.000E+02 2.01E-09 4.70E-04 4.89E-07 6.08E-02 1.85E-03 6.32E-02 6.32E-02
8.000E+02 1.13E-09 3.67E-04 3.66E-07 6.18E-02 1.89E-03 6.40E-02 6.40E-02
1.000E+03 7.24E-10 3.02E-04 2.93E-07 6.24E-02 1.93E-03 6.46E-02 6.46E-02
1.500E+03 3.22E-10 2.11E-04 1.95E-07 6.33E-02 1.97E-03 6.54E-02 6.54E-02
2.000E+03 1.81E-10 1.63E-04 1.46E-07 6.37E-02 2.00E-03 6.59E-02 6.59E-02
3.000E+03 8.05E-11 1.14E-04 9.75E-08 6.43E-02 2.03E-03 6.64E-02 6.64E-02
4.000E+03 4.53E-11 8.77E-05 7.32E-08 6.45E-02 2.05E-03 6.67E-02 6.67E-02
5.000E+03 2.90E-11 7.17E-05 5.85E-08 6.47E-02 2.06E-03 6.68E-02 6.68E-02
6.000E+03 2.01E-11 6.08E-05 4.88E-08 6.48E-02 2.07E-03 6.70E-02 6.70E-02
8.000E+03 1.13E-11 4.68E-05 3.66E-08 6.50E-02 2.08E-03 6.71E-02 6.71E-02
1.000E+04 7.24E-12 3.82E-05 2.92E-08 6.51E-02 2.08E-03 6.72E-02 6.72E-02
1.500E+04 3.22E-12 2.64E-05 1.95E-08 6.52E-02 2.09E-03 6.73E-02 6.73E-02
2.000E+04 1.81E-12 2.03E-05 1.46E-08 6.53E-02 2.09E-03 6.74E-02 6.74E-02
3.000E+04 8.05E-13 1.40E-05 9.75E-09 6.54E-02 2.10E-03 6.75E-02 6.75E-02
4.000E+04 4.53E-13 1.08E-05 7.31E-09 6.54E-02 2.10E-03 6.75E-02 6.75E-02
5.000E+04 2.90E-13 8.76E-06 5.85E-09 6.54E-02 2.10E-03 6.76E-02 6.76E-02
6.000E+04 2.01E-13 7.40E-06 4.87E-09 6.55E-02 2.11E-03 6.76E-02 6.76E-02
8.000E+04 1.13E-13 5.68E-06 3.66E-09 6.55E-02 2.11E-03 6.76E-02 6.76E-02
1.000E+05 7.24E-14 4.62E-06 2.92E-09 6.55E-02 2.11E-03 6.76E-02 6.76E-02
