Constituents (Atomic Number : Fraction by Weight)

 Z=9	: 1.000000

Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
       3.262E-01 6.94E-04 9.75E-02 1.07E-04 0.00E+00 0.00E+00 9.83E-02 9.76E-02
       3.581E-01 5.76E-04 9.42E-02 8.11E-05 0.00E+00 0.00E+00 9.48E-02 9.42E-02
       3.932E-01 4.79E-04 9.08E-02 6.19E-05 0.00E+00 0.00E+00 9.14E-02 9.09E-02
       4.317E-01 3.97E-04 8.75E-02 4.75E-05 0.00E+00 0.00E+00 8.80E-02 8.76E-02
       4.739E-01 3.30E-04 8.43E-02 3.67E-05 0.00E+00 0.00E+00 8.46E-02 8.43E-02
       5.203E-01 2.74E-04 8.11E-02 2.86E-05 0.00E+00 0.00E+00 8.14E-02 8.11E-02
       5.712E-01 2.27E-04 7.79E-02 2.25E-05 0.00E+00 0.00E+00 7.82E-02 7.79E-02
       6.270E-01 1.89E-04 7.48E-02 1.77E-05 0.00E+00 0.00E+00 7.50E-02 7.48E-02
       6.884E-01 1.57E-04 7.18E-02 1.40E-05 0.00E+00 0.00E+00 7.20E-02 7.18E-02
       7.558E-01 1.30E-04 6.88E-02 1.12E-05 0.00E+00 0.00E+00 6.90E-02 6.88E-02
       8.297E-01 1.08E-04 6.59E-02 9.33E-06 0.00E+00 0.00E+00 6.60E-02 6.59E-02
       9.109E-01 8.95E-05 6.31E-02 7.83E-06 0.00E+00 0.00E+00 6.32E-02 6.31E-02
       1.000E+00 7.42E-05 6.03E-02 6.21E-06 0.00E+00 0.00E+00 6.04E-02 6.03E-02


