Constituents (Atomic Number : Fraction by Weight)

 Z=7	: 1.000000

Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
       6.673E-02 1.02E-02 1.57E-01 7.16E-03 0.00E+00 0.00E+00 1.74E-01 1.64E-01
       7.326E-02 8.61E-03 1.55E-01 5.25E-03 0.00E+00 0.00E+00 1.69E-01 1.60E-01
       8.043E-02 7.22E-03 1.53E-01 3.85E-03 0.00E+00 0.00E+00 1.64E-01 1.56E-01
       8.830E-02 6.05E-03 1.50E-01 2.82E-03 0.00E+00 0.00E+00 1.59E-01 1.53E-01
       9.694E-02 5.06E-03 1.47E-01 2.07E-03 0.00E+00 0.00E+00 1.54E-01 1.49E-01
       1.064E-01 4.23E-03 1.44E-01 1.52E-03 0.00E+00 0.00E+00 1.50E-01 1.46E-01
       1.168E-01 3.53E-03 1.41E-01 1.12E-03 0.00E+00 0.00E+00 1.46E-01 1.42E-01
       1.283E-01 2.95E-03 1.38E-01 8.21E-04 0.00E+00 0.00E+00 1.42E-01 1.39E-01
       1.408E-01 2.46E-03 1.35E-01 6.05E-04 0.00E+00 0.00E+00 1.38E-01 1.36E-01
       1.546E-01 2.04E-03 1.32E-01 4.46E-04 0.00E+00 0.00E+00 1.34E-01 1.32E-01
       1.697E-01 1.70E-03 1.28E-01 3.29E-04 0.00E+00 0.00E+00 1.30E-01 1.28E-01
       1.863E-01 1.42E-03 1.25E-01 2.44E-04 0.00E+00 0.00E+00 1.26E-01 1.25E-01
       2.046E-01 1.18E-03 1.21E-01 1.81E-04 0.00E+00 0.00E+00 1.22E-01 1.21E-01
       2.246E-01 9.79E-04 1.17E-01 1.34E-04 0.00E+00 0.00E+00 1.19E-01 1.18E-01
       2.465E-01 8.13E-04 1.14E-01 1.00E-04 0.00E+00 0.00E+00 1.15E-01 1.14E-01
       2.707E-01 6.76E-04 1.10E-01 7.49E-05 0.00E+00 0.00E+00 1.11E-01 1.10E-01
       2.971E-01 5.61E-04 1.07E-01 5.62E-05 0.00E+00 0.00E+00 1.07E-01 1.07E-01
       3.262E-01 4.66E-04 1.03E-01 4.24E-05 0.00E+00 0.00E+00 1.03E-01 1.03E-01
       3.581E-01 3.87E-04 9.94E-02 3.22E-05 0.00E+00 0.00E+00 9.98E-02 9.94E-02
       3.932E-01 3.21E-04 9.59E-02 2.45E-05 0.00E+00 0.00E+00 9.62E-02 9.59E-02
       4.317E-01 2.67E-04 9.24E-02 1.88E-05 0.00E+00 0.00E+00 9.27E-02 9.24E-02
       4.739E-01 2.21E-04 8.89E-02 1.45E-05 0.00E+00 0.00E+00 8.92E-02 8.89E-02
       5.203E-01 1.84E-04 8.55E-02 1.13E-05 0.00E+00 0.00E+00 8.57E-02 8.56E-02
       5.712E-01 1.53E-04 8.22E-02 8.88E-06 0.00E+00 0.00E+00 8.24E-02 8.22E-02
       6.270E-01 1.27E-04 7.90E-02 6.97E-06 0.00E+00 0.00E+00 7.91E-02 7.90E-02
       6.884E-01 1.05E-04 7.58E-02 5.49E-06 0.00E+00 0.00E+00 7.59E-02 7.58E-02
       7.558E-01 8.72E-05 7.26E-02 4.42E-06 0.00E+00 0.00E+00 7.27E-02 7.26E-02
       8.297E-01 7.23E-05 6.95E-02 3.70E-06 0.00E+00 0.00E+00 6.96E-02 6.95E-02
       9.109E-01 6.00E-05 6.65E-02 3.13E-06 0.00E+00 0.00E+00 6.65E-02 6.65E-02
       1.000E+00 4.98E-05 6.36E-02 2.45E-06 0.00E+00 0.00E+00 6.36E-02 6.36E-02

