Constituents (Atomic Number : Fraction by Weight)

 Z=1	: 1.000000

Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
       1.283E-01 1.68E-04 2.77E-01 4.22E-07 0.00E+00 0.00E+00 2.77E-01 2.77E-01
       1.408E-01 1.39E-04 2.70E-01 3.08E-07 0.00E+00 0.00E+00 2.70E-01 2.70E-01
       1.546E-01 1.16E-04 2.63E-01 2.26E-07 0.00E+00 0.00E+00 2.63E-01 2.63E-01
       1.697E-01 9.59E-05 2.56E-01 1.65E-07 0.00E+00 0.00E+00 2.56E-01 2.56E-01
       1.863E-01 7.96E-05 2.48E-01 1.21E-07 0.00E+00 0.00E+00 2.48E-01 2.48E-01
       2.046E-01 6.60E-05 2.41E-01 8.94E-08 0.00E+00 0.00E+00 2.41E-01 2.41E-01
       2.246E-01 5.48E-05 2.34E-01 6.60E-08 0.00E+00 0.00E+00 2.34E-01 2.34E-01
       2.465E-01 4.55E-05 2.26E-01 4.89E-08 0.00E+00 0.00E+00 2.27E-01 2.26E-01
       2.707E-01 3.77E-05 2.19E-01 3.64E-08 0.00E+00 0.00E+00 2.19E-01 2.19E-01
       2.971E-01 3.13E-05 2.12E-01 2.72E-08 0.00E+00 0.00E+00 2.12E-01 2.12E-01
       3.262E-01 2.60E-05 2.05E-01 2.04E-08 0.00E+00 0.00E+00 2.05E-01 2.05E-01
       3.581E-01 2.15E-05 1.98E-01 1.54E-08 0.00E+00 0.00E+00 1.98E-01 1.98E-01
       3.932E-01 1.79E-05 1.91E-01 1.17E-08 0.00E+00 0.00E+00 1.91E-01 1.91E-01
       4.317E-01 1.48E-05 1.84E-01 8.92E-09 0.00E+00 0.00E+00 1.84E-01 1.84E-01
