Constituents (Atomic Number : Fraction by Weight)

 Z=6	: 1.000000

Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
       2.046E-01 9.12E-04 1.21E-01 9.89E-05 0.00E+00 0.00E+00 1.22E-01 1.21E-01
       2.246E-01 7.58E-04 1.17E-01 7.34E-05 0.00E+00 0.00E+00 1.18E-01 1.17E-01
       2.465E-01 6.30E-04 1.14E-01 5.47E-05 0.00E+00 0.00E+00 1.14E-01 1.14E-01
       2.707E-01 5.23E-04 1.10E-01 4.09E-05 0.00E+00 0.00E+00 1.11E-01 1.10E-01
       2.971E-01 4.35E-04 1.07E-01 3.07E-05 0.00E+00 0.00E+00 1.07E-01 1.07E-01
       3.262E-01 3.61E-04 1.03E-01 2.31E-05 0.00E+00 0.00E+00 1.03E-01 1.03E-01
       3.581E-01 3.00E-04 9.94E-02 1.75E-05 0.00E+00 0.00E+00 9.97E-02 9.94E-02
       3.932E-01 2.49E-04 9.59E-02 1.34E-05 0.00E+00 0.00E+00 9.61E-02 9.59E-02
       4.317E-01 2.06E-04 9.24E-02 1.02E-05 0.00E+00 0.00E+00 9.26E-02 9.24E-02
       4.739E-01 1.71E-04 8.89E-02 7.90E-06 0.00E+00 0.00E+00 8.91E-02 8.90E-02
       5.203E-01 1.42E-04 8.56E-02 6.16E-06 0.00E+00 0.00E+00 8.57E-02 8.56E-02
       5.712E-01 1.18E-04 8.22E-02 4.83E-06 0.00E+00 0.00E+00 8.23E-02 8.22E-02
       6.270E-01 9.79E-05 7.89E-02 3.79E-06 0.00E+00 0.00E+00 7.90E-02 7.89E-02
       6.884E-01 8.13E-05 7.57E-02 2.97E-06 0.00E+00 0.00E+00 7.58E-02 7.57E-02
       7.558E-01 6.74E-05 7.26E-02 2.39E-06 0.00E+00 0.00E+00 7.27E-02 7.26E-02
       8.297E-01 5.59E-05 6.95E-02 2.02E-06 0.00E+00 0.00E+00 6.95E-02 6.95E-02
       9.109E-01 4.64E-05 6.65E-02 1.72E-06 0.00E+00 0.00E+00 6.65E-02 6.65E-02
       1.000E+00 3.85E-05 6.36E-02 1.33E-06 0.00E+00 0.00E+00 6.36E-02 6.36E-02

