Constituents (Atomic Number : Fraction by Weight)

 Z=5	: 1.000000

Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
       1.408E-01 1.34E-03 1.25E-01 1.51E-04 0.00E+00 0.00E+00 1.27E-01 1.25E-01
       1.546E-01 1.11E-03 1.22E-01 1.11E-04 0.00E+00 0.00E+00 1.23E-01 1.22E-01
       1.697E-01 9.24E-04 1.19E-01 8.16E-05 0.00E+00 0.00E+00 1.20E-01 1.19E-01
       1.863E-01 7.68E-04 1.15E-01 6.03E-05 0.00E+00 0.00E+00 1.16E-01 1.16E-01
       2.046E-01 6.38E-04 1.12E-01 4.46E-05 0.00E+00 0.00E+00 1.13E-01 1.12E-01
       2.246E-01 5.30E-04 1.09E-01 3.31E-05 0.00E+00 0.00E+00 1.09E-01 1.09E-01
       2.465E-01 4.40E-04 1.05E-01 2.46E-05 0.00E+00 0.00E+00 1.06E-01 1.05E-01
       2.707E-01 3.65E-04 1.02E-01 1.84E-05 0.00E+00 0.00E+00 1.02E-01 1.02E-01
       2.971E-01 3.03E-04 9.87E-02 1.38E-05 0.00E+00 0.00E+00 9.90E-02 9.87E-02
       3.262E-01 2.52E-04 9.53E-02 1.04E-05 0.00E+00 0.00E+00 9.56E-02 9.53E-02
       3.581E-01 2.09E-04 9.20E-02 7.87E-06 0.00E+00 0.00E+00 9.23E-02 9.20E-02
       3.932E-01 1.73E-04 8.88E-02 5.99E-06 0.00E+00 0.00E+00 8.90E-02 8.88E-02
       4.317E-01 1.44E-04 8.55E-02 4.58E-06 0.00E+00 0.00E+00 8.57E-02 8.56E-02
       4.739E-01 1.19E-04 8.24E-02 3.54E-06 0.00E+00 0.00E+00 8.25E-02 8.24E-02
       5.203E-01 9.92E-05 7.92E-02 2.76E-06 0.00E+00 0.00E+00 7.93E-02 7.92E-02
       5.712E-01 8.23E-05 7.61E-02 2.17E-06 0.00E+00 0.00E+00 7.62E-02 7.61E-02
       6.270E-01 6.83E-05 7.31E-02 1.69E-06 0.00E+00 0.00E+00 7.32E-02 7.31E-02
       6.884E-01 5.67E-05 7.01E-02 1.32E-06 0.00E+00 0.00E+00 7.02E-02 7.01E-02
       7.558E-01 4.70E-05 6.72E-02 1.07E-06 0.00E+00 0.00E+00 6.72E-02 6.72E-02
       8.297E-01 3.90E-05 6.43E-02 9.07E-07 0.00E+00 0.00E+00 6.44E-02 6.43E-02
       9.109E-01 3.24E-05 6.16E-02 7.81E-07 0.00E+00 0.00E+00 6.16E-02 6.16E-02
       1.000E+00 2.69E-05 5.89E-02 5.97E-07 0.00E+00 0.00E+00 5.89E-02 5.89E-02

