Constituents (Atomic Number : Fraction by Weight)

 Z=13	: 1.000000

Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
  MeV	 cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
       2.046E-01 3.35E-03 1.16E-01 1.87E-03 0.00E+00 0.00E+00 1.21E-01 1.18E-01
       2.246E-01 2.79E-03 1.13E-01 1.39E-03 0.00E+00 0.00E+00 1.17E-01 1.14E-01
       2.465E-01 2.33E-03 1.09E-01 1.04E-03 0.00E+00 0.00E+00 1.13E-01 1.10E-01
       2.707E-01 1.94E-03 1.06E-01 7.84E-04 0.00E+00 0.00E+00 1.09E-01 1.07E-01
       2.971E-01 1.61E-03 1.02E-01 5.91E-04 0.00E+00 0.00E+00 1.05E-01 1.03E-01
       3.262E-01 1.34E-03 9.90E-02 4.48E-04 0.00E+00 0.00E+00 1.01E-01 9.95E-02
       3.581E-01 1.11E-03 9.56E-02 3.40E-04 0.00E+00 0.00E+00 9.71E-02 9.60E-02
       3.932E-01 9.24E-04 9.22E-02 2.60E-04 0.00E+00 0.00E+00 9.34E-02 9.25E-02
       4.317E-01 7.68E-04 8.89E-02 2.00E-04 0.00E+00 0.00E+00 8.99E-02 8.91E-02
       4.739E-01 6.38E-04 8.56E-02 1.55E-04 0.00E+00 0.00E+00 8.64E-02 8.58E-02
       5.203E-01 5.30E-04 8.24E-02 1.21E-04 0.00E+00 0.00E+00 8.30E-02 8.25E-02
       5.712E-01 4.40E-04 7.92E-02 9.52E-05 0.00E+00 0.00E+00 7.97E-02 7.93E-02
       6.270E-01 3.65E-04 7.61E-02 7.51E-05 0.00E+00 0.00E+00 7.65E-02 7.61E-02
       6.884E-01 3.03E-04 7.30E-02 5.96E-05 0.00E+00 0.00E+00 7.33E-02 7.30E-02
       7.558E-01 2.52E-04 7.00E-02 4.80E-05 0.00E+00 0.00E+00 7.03E-02 7.00E-02
       8.297E-01 2.09E-04 6.70E-02 3.96E-05 0.00E+00 0.00E+00 6.72E-02 6.70E-02
       9.109E-01 1.73E-04 6.41E-02 3.29E-05 0.00E+00 0.00E+00 6.43E-02 6.41E-02
       1.000E+00 1.44E-04 6.13E-02 2.64E-05 0.00E+00 0.00E+00 6.15E-02 6.13E-02
